154,bhytfv.com,184.72.124.93,1,"AMAZON-AES - Amazon.com, Inc.",AMAZON-AES
155,sutree.com,208.43.7.176,3,SOFTLAYER - SoftLayer Technologies Inc.,SOFTLAYER
156,mportico.com,54.208.78.194,1,"Amazon.com, Inc.",AMAZO-4
157,worklight.com,208.64.67.180,0,"Vault Networks, Inc.",VAULT-2
158,stixy.com,67.214.213.212,0,"Blue Box Group, Inc.",BBG-21
159,trustedopinion.com,67.214.213.212,0,"BLUE-BOX-GRP - Blue Box Group, Inc.",BLUE-BOX-GRP
160,playspan.com,50.18.207.7,1,"Amazon.com, Inc.",AMAZO-4
161,grouply.com,50.18.207.7,1,"AMAZON-02 - Amazon.com, Inc.",AMAZON-02
162,egenerations.com,98.129.196.34,2,Rackspace Hosting,RACKS-8
163,howzatmedia.com,85.233.160.22,0,ISIONUK Namesco Limited,ISIONUK
164,fourint.com,68.178.254.170,0,"GoDaddy.com, LLC",GODAD
165,asklaila.com,123.108.45.140,0,Asia Pacific Network Information Centre,APNIC
166,wikinvest.com,66.81.238.6,0,MPOWER-2 - MPOWER COMMUNICATIONS CORP.,MPOWER-2
167,youlicit.com,75.125.145.50,0,"ThePlanet.com Internet Services, Inc.",TPCM
168,gazelle.com,23.23.94.92,1,"Amazon.com, Inc.",AMAZO-4
169,earthmine.com,54.204.34.63,1,"Amazon.com, Inc.",AMAZO-4
170,fon.com,213.134.45.154,0,FON-AS-2 Fon Wireless LTD,FON-AS-2
171,confabb.com,72.14.184.188,0,Linode,LINOD
172,faniq.com,198.148.26.44,0,Pulsepoint Inc,PULSE-13
173,23andme.com,64.74.136.10,0,INTERNAP-2BLK - Internap Network Services Corporation,INTERNAP-2BLK
174,adready.com,54.193.55.168,1,"Amazon.com, Inc.",AMAZO-48
175,myzenplanet.com,64.62.155.21,0,"HURRICANE - Hurricane Electric, Inc.",HURRICANE
176,climate.com,107.21.217.92,1,"Amazon.com, Inc.",AMAZO-4
177,picnik.com,70.32.137.48,5,Google Inc.,GOGL
178,veodia.com,209.141.56.163,0,FranTech Solutions,SYNDI-5
179,blinkbox.com,81.91.240.249,0,QUBE Qube Managed Services Limited,QUBE
180,wix.com,216.185.152.111,0,"HWSERVICES-32400 - Hostway Services, Inc.",HWSERVICES-32400
181,crush3r.com,208.73.210.215,0,Oversee.net,OVERS-1
182,xlntads.com,144.202.194.227,0,"Baltimore Technology Park, LLC",BTPL-1
183,trialpay.com,199.68.156.31,0,"TrialPay, Inc.",TRIAL-4
184,stylefeeder.com,207.223.255.33,0,"RACKMY-STL-AS1 - XIOLINK, LLC",RACKMY-STL-AS1
185,bitgravity.com,208.67.238.200,0,"BitGravity, Inc.",BITGR
186,bluekiwi-software.com,78.109.85.7,0,TYPHON-AS Claranet France,TYPHON-AS
187,gigya.com,74.120.149.12,0,"Gigya, Inc.",GIGYA
188,live-documents.com,184.73.197.57,1,"Amazon.com, Inc.",AMAZO-4
189,getsongbird.com,184.73.197.57,1,"AMAZON-AES - Amazon.com, Inc.",AMAZON-AES
190,yoursports.com,107.20.163.228,1,"Amazon.com, Inc.",AMAZO-4
191,sezwho.com,216.129.112.93,0,"Layer42.Net, Inc.",LAYER-1
192,peer39.com,69.195.77.90,0,Unified Layer,BLUEH-2
193,vitrue.com,156.151.59.19,0,Oracle Corporation,ORACLE-4
194,vringoinc.com,208.82.206.94,0,"REDPLAID Managed Hosting, LLC",RMHL
195,plazes.com,131.228.39.211,0,HERE HERE Internet,HERE
196,aolanswers.com,98.158.16.184,0,Central Host Inc.,CENTR-3
197,brightroll.com,173.1.16.114,0,"GoGrid, LLC",SERVE-47
198,zmags.com,50.116.54.156,0,Linode,LINOD
199,dogtime.com,184.73.206.127,1,"Amazon.com, Inc.",AMAZO-4
200,trackvia.com,54.200.140.73,1,"Amazon.com, Inc.",AMAZO-47
201,mybuys.com,198.58.96.228,0,Linode,LINOD
202,podaddies.com,72.167.232.189,0,"GoDaddy.com, LLC",GODAD
203,zecco.com,54.208.101.80,1,"Amazon.com, Inc.",AMAZO-4
204,blackwave.tv,184.168.221.71,0,"GoDaddy.com, LLC",GODAD
205,jacksonfish.com,69.164.220.90,0,Linode,LINOD
206,billeo.com,165.193.229.100,0,"Billeo, Inc.",BILLE
207,realself.com,54.221.221.190,1,"Amazon.com, Inc.",AMAZO-4
208,thrivesmart.com,216.239.36.21,5,Google Inc.,GOGL
209,stevenissley.com,184.178.213.141,0,"Crexendo Business Solutions, Inc.",CBS-161
